,date,count
0,2015-07-05,1333
1,2015-07-12,1867
2,2015-07-19,1911
3,2015-07-26,1881
4,2015-08-02,1897
5,2015-08-09,1914
6,2015-08-16,1835
7,2015-08-23,1896
8,2015-08-30,1924
9,2015-09-06,1942
10,2015-09-13,1934
11,2015-09-20,2045
12,2015-09-27,2026
13,2015-10-04,1847
14,2015-10-11,1946
15,2015-10-18,1879
16,2015-10-25,1858
17,2015-11-01,1910
18,2015-11-08,1952
19,2015-11-15,1849
20,2015-11-22,1857
21,2015-11-29,1637
22,2015-12-06,1866
23,2015-12-13,1897
24,2015-12-20,1883
25,2015-12-27,1662
26,2016-01-03,1751
27,2016-01-10,1756
28,2016-01-17,1781
29,2016-01-24,1669
30,2016-01-31,1847
31,2016-02-07,1832
32,2016-02-14,1574
33,2016-02-21,1816
34,2016-02-28,1837
35,2016-03-06,1714
36,2016-03-13,1880
37,2016-03-20,1961
38,2016-03-27,1818
39,2016-04-03,1988
40,2016-04-10,1857
41,2016-04-17,1920
42,2016-04-24,1853
43,2016-05-01,1895
44,2016-05-08,1826
45,2016-05-15,1960
46,2016-05-22,1944
47,2016-05-29,1996
48,2016-06-05,2073
49,2016-06-12,1986
50,2016-06-19,2063
51,2016-06-26,1995
52,2016-07-03,1855
53,2016-07-10,1938
54,2016-07-17,1975
55,2016-07-24,1919
56,2016-07-31,2027
57,2016-08-07,1976
58,2016-08-14,2036
59,2016-08-21,2101
60,2016-08-28,1983
61,2016-09-04,2081
62,2016-09-11,1792
63,2016-09-18,2059
64,2016-09-25,2066
65,2016-10-02,1984
66,2016-10-09,1968
67,2016-10-16,1911
68,2016-10-23,1942
69,2016-10-30,1902
70,2016-11-06,2077
71,2016-11-13,1811
72,2016-11-20,1959
73,2016-11-27,1642
74,2016-12-04,1900
75,2016-12-11,1919
76,2016-12-18,1809
77,2016-12-25,1649
78,2017-01-01,1755
79,2017-01-08,1692
80,2017-01-15,1802
81,2017-01-22,1819
82,2017-01-29,1933
83,2017-02-05,1738
84,2017-02-12,1706
85,2017-02-19,1979
86,2017-02-26,1945
87,2017-03-05,1810
88,2017-03-12,1819
89,2017-03-19,1812
90,2017-03-26,1871
91,2017-04-02,2001
92,2017-04-09,1819
93,2017-04-16,1925
94,2017-04-23,1844
95,2017-04-30,1934
96,2017-05-07,2069
97,2017-05-14,1887
98,2017-05-21,2109
99,2017-05-28,1871
100,2017-06-04,2002
101,2017-06-11,2030
102,2017-06-18,2124
103,2017-06-25,2105
104,2017-07-02,2144
105,2017-07-09,2012
106,2017-07-16,2041
107,2017-07-23,2065
108,2017-07-30,2050
109,2017-08-06,2227
110,2017-08-13,2105
111,2017-08-20,2099
112,2017-08-27,2022
113,2017-09-03,2034
114,2017-09-10,1968
115,2017-09-17,2177
116,2017-09-24,2122
117,2017-10-01,2142
118,2017-10-08,2002
119,2017-10-15,1957
120,2017-10-22,2013
121,2017-10-29,2010
122,2017-11-05,2074
123,2017-11-12,1867
124,2017-11-19,1875
125,2017-11-26,1638
126,2017-12-03,1958
127,2017-12-10,1877
128,2017-12-17,1730
129,2017-12-24,1702
130,2017-12-31,1448
131,2018-01-07,1597
132,2018-01-14,1979
133,2018-01-21,1722
134,2018-01-28,1783
135,2018-02-04,1750
136,2018-02-11,1718
137,2018-02-18,1766
138,2018-02-25,1740
139,2018-03-04,1793
140,2018-03-11,1701
141,2018-03-18,1774
142,2018-03-25,1747
143,2018-04-01,1863
144,2018-04-08,1819
145,2018-04-15,1912
146,2018-04-22,1813
147,2018-04-29,1921
148,2018-05-06,2121
149,2018-05-13,1972
150,2018-05-20,2014
151,2018-05-27,2082
152,2018-06-03,1990
153,2018-06-10,2095
154,2018-06-17,2186
155,2018-06-24,2049
156,2018-07-01,2126
157,2018-07-08,1976
158,2018-07-15,2002
159,2018-07-22,1892
160,2018-07-29,2064
161,2018-08-05,1965
162,2018-08-12,1961
163,2018-08-19,1991
164,2018-08-26,2027
165,2018-09-02,2073
166,2018-09-09,1984
167,2018-09-16,1887
168,2018-09-23,2050
169,2018-09-30,2004
170,2018-10-07,2017
171,2018-10-14,1897
172,2018-10-21,1778
173,2018-10-28,1895
174,2018-11-04,2007
175,2018-11-11,1747
176,2018-11-18,1802
177,2018-11-25,1535
178,2018-12-02,1947
179,2018-12-09,1880
180,2018-12-16,1845
181,2018-12-23,1815
182,2018-12-30,1411
183,2019-01-06,1827
184,2019-01-13,1762
185,2019-01-20,1725
186,2019-01-27,1700
187,2019-02-03,1755
188,2019-02-10,1746
189,2019-02-17,1735
190,2019-02-24,1669
191,2019-03-03,1739
192,2019-03-10,1648
193,2019-03-17,1824
194,2019-03-24,1690
195,2019-03-31,1884
196,2019-04-07,1815
197,2019-04-14,1857
198,2019-04-21,1578
199,2019-04-28,1816
200,2019-05-05,1824
201,2019-05-12,1982
202,2019-05-19,1944
203,2019-05-26,2036
204,2019-06-02,1850
205,2019-06-09,1948
206,2019-06-16,1868
207,2019-06-23,1874
208,2019-06-30,2039
